epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,58.2756,1.25088,0.58606,0.89626,0.98149,0.94631,0.98925,0.54928,1.35597,0.59766,0.86558,0.0011882,0.0011882,0.0011882
43,59.5503,1.23529,0.58526,0.88673,0.99181,0.97987,0.99063,0.65829,1.23427,0.55356,0.84652,0.0011684,0.0011684,0.0011684
44,60.8586,1.23576,0.58673,0.88772,0.9993,0.98658,0.99287,0.63783,1.24257,0.55977,0.84819,0.0011486,0.0011486,0.0011486
45,62.1374,1.1975,0.5758,0.88882,0.99752,0.98658,0.99341,0.64714,1.22989,0.55146,0.84755,0.0011288,0.0011288,0.0011288
46,63.4358,1.23569,0.56092,0.88776,1,0.99003,0.995,0.62428,1.26339,0.5518,0.84791,0.001109,0.001109,0.001109
47,64.7313,1.19937,0.54244,0.89366,0.99327,0.99106,0.99487,0.64192,1.23251,0.5373,0.85159,0.0010892,0.0010892,0.0010892
48,66.0317,1.19856,0.5502,0.87816,0.98602,0.98658,0.99209,0.65292,1.22108,0.53769,0.84383,0.0010694,0.0010694,0.0010694
49,67.312,1.26545,0.58183,0.90945,0.98661,0.92617,0.98378,0.63171,1.24384,0.60684,0.85077,0.0010496,0.0010496,0.0010496
50,68.6102,1.21938,0.56412,0.89122,0.98434,0.91275,0.98634,0.62573,1.2389,0.60335,0.85344,0.0010298,0.0010298,0.0010298
51,69.8945,1.21731,0.55672,0.89789,0.94385,0.94631,0.98787,0.62089,1.262,0.5893,0.8539,0.00101,0.00101,0.00101
52,71.1925,1.21108,0.56254,0.8884,0.99803,0.97987,0.9938,0.63322,1.245,0.53078,0.84867,0.0009902,0.0009902,0.0009902
53,72.511,1.19186,0.54976,0.87962,0.98653,0.98279,0.98904,0.6392,1.23525,0.5242,0.85079,0.0009704,0.0009704,0.0009704
54,73.9653,1.20292,0.54638,0.88721,0.99217,0.98658,0.99247,0.60539,1.27112,0.5448,0.85731,0.0009506,0.0009506,0.0009506
55,75.2713,1.15788,0.5324,0.88286,0.99235,0.98658,0.99349,0.61894,1.25162,0.53314,0.85402,0.0009308,0.0009308,0.0009308
56,76.5754,1.20233,0.55969,0.88492,0.98567,0.97987,0.99203,0.62516,1.17143,0.51823,0.83767,0.000911,0.000911,0.000911
57,77.8788,1.16048,0.5347,0.87815,0.99198,0.97987,0.98988,0.64358,1.19117,0.53003,0.84143,0.0008912,0.0008912,0.0008912
58,79.2546,1.15389,0.53088,0.87771,0.9885,0.97987,0.99012,0.64583,1.22705,0.52137,0.8481,0.0008714,0.0008714,0.0008714
59,80.5827,1.14757,0.5221,0.87573,0.99196,0.97315,0.99097,0.66257,1.20646,0.51428,0.84244,0.0008516,0.0008516,0.0008516
60,81.8822,1.15087,0.52842,0.87482,0.9884,0.96644,0.99293,0.64959,1.20754,0.5372,0.84513,0.0008318,0.0008318,0.0008318
61,83.1845,1.15092,0.52112,0.86613,0.99149,0.97315,0.99127,0.65346,1.19686,0.51848,0.83971,0.000812,0.000812,0.000812
62,84.4894,1.14571,0.5204,0.86705,0.99117,0.97315,0.99174,0.66781,1.17203,0.50242,0.83912,0.0007922,0.0007922,0.0007922
